id,name,now_cost,position,team,points_per_game_rank_type,selected_rank,bonus,penalties_saved,direct_freekicks_order,form_rank_type,ict_index,expected_goals_conceded_per_90,goals_conceded,saves,points_per_game,yellow_cards,minutes,penalties_missed,saves_per_90,starts_per_90,expected_goal_involvements_per_90,chance_of_playing_next_round,expected_goal_involvements,corners_and_indirect_freekicks_order,now_cost_rank,creativity_rank,ict_index_rank,creativity,expected_goals_conceded,goals_conceded_per_90,ep_next,starts,own_goals,now_cost_rank_type,web_name,clean_sheets,selected_by_percent,creativity_rank_type,threat,clean_sheets_per_90,threat_rank,points_per_game_rank,news,bps,news_added,red_cards,influence_rank_type,expected_assists,selected_rank_type,value_season,form_rank,influence_rank,total_points,status,ict_index_rank_type,expected_assists_per_90,influence,goals_scored,expected_goals_per_90,expected_goals,assists,threat_rank_type,penalties_order
1,Folarin Balogun,45,FWD,Arsenal,48,140,0,0,,7,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,426,500,503,0.0,0.00,0.0,1.5,0,0,64,Balogun,0,1.5,46,0.0,0.0,491,506,,0,,0,46,0.00,30,0.0,233,501,0,a,48,0.0,0.0,0,0.0,0.00,0,48,
2,Cédric Alves Soares,40,DEF,Arsenal,125,272,0,0,,3,11.9,1.14,3,0,1.2,0,223,0,0.0,0.81,0.1,,0.25,,521,287,335,51.4,2.83,1.21,1.5,2,0,150,Cédric,0,0.4,102,10.0,0.0,329,349,,56,,0,127,0.19,93,2.5,9,333,10,a,123,0.08,56.4,0,0.02,0.06,0,126,
3,Mohamed Elneny,45,MID,Arsenal,157,395,0,0,,9,1.1,1.05,2,0,1.2,0,111,0,0.0,0.81,0.03,,0.04,,352,347,376,5.4,1.29,1.62,1.5,1,0,201,M.Elneny,0,0.2,170,0.0,0.0,464,351,,27,,0,174,0.04,124,1.3,159,377,6,a,173,0.03,4.6,0,0.0,0.00,0,183,
4,Fábio Ferreira Vieira,55,MID,Arsenal,125,451,2,0,,207,41.5,0.95,5,0,1.8,0,500,0,0.0,0.54,0.4,,2.25,,136,163,261,180.6,5.28,0.9,2.5,3,0,89,Fábio Vieira,2,0.1,104,123.0,0.36,199,291,,134,,0,128,1.39,147,7.3,524,293,40,a,123,0.25,116.0,1,0.15,0.86,2,113,
5,Gabriel dos Santos Magalhães,50,DEF,Arsenal,14,13,15,0,,191,127.7,1.1,43,0,3.8,5,3409,0,0.0,1.0,0.15,,5.70,,251,196,77,131.4,41.84,1.14,2.8,38,0,31,Gabriel,14,24.2,54,401.0,0.37,80,67,,723,,0,6,0.66,6,29.2,424,31,146,a,9,0.02,743.8,3,0.13,5.04,0,3,
6,Kai Havertz,75,MID,Arsenal,66,77,13,0,,250,202.5,1.34,31,0,2.9,5,2565,0,0.0,1.05,0.51,,14.33,,24,49,27,536.6,38.25,1.09,3.1,30,0,14,Havertz,9,5.0,41,1014.0,0.32,15,160,,301,,0,52,2.75,25,13.6,594,111,102,a,20,0.1,476.4,7,0.41,11.58,1,6,
7,Rob Holding,45,DEF,Arsenal,117,378,0,0,,97,21.6,1.78,13,0,1.5,0,562,0,0.0,0.96,0.07,,0.47,,354,340,310,10.3,11.14,2.08,2.5,6,0,73,Holding,0,0.2,126,54.0,0.0,274,315,,120,,0,107,0.15,143,4.7,161,270,21,a,114,0.02,152.0,1,0.05,0.32,0,101,
8,Gabriel Fernando de Jesus,80,FWD,Arsenal,5,31,17,0,,74,241.9,1.01,23,0,4.8,6,2064,0,0.0,1.05,0.75,25.0,17.15,,15,64,17,427.8,23.15,1.0,0.8,24,0,6,G.Jesus,9,13.7,2,1331.0,0.39,5,14,Knee injury - 25% chance of playing,401,2023-08-02T21:00:03.961365Z,0,6,2.91,6,15.6,603,55,125,d,5,0.13,660.6,11,0.62,14.24,7,3,2.0
9,Jorge Luiz Frello Filho,55,MID,Arsenal,79,280,5,0,,171,76.1,1.03,23,0,2.5,4,2127,0,0.0,1.02,0.12,,2.85,,84,122,166,261.4,24.41,0.97,2.5,24,0,53,Jorginho,9,0.4,85,98.0,0.38,225,201,,379,,0,65,0.96,92,14.4,472,148,79,a,93,0.04,400.4,2,0.08,1.89,2,122,
10,Jakub Kiwior,45,DEF,Arsenal,17,415,1,0,,159,13.9,1.37,6,0,3.7,0,425,0,0.0,1.06,0.02,,0.11,,463,325,329,17.9,6.46,1.27,2.5,5,0,135,Kiwior,2,0.2,121,21.0,0.42,318,73,,111,,0,116,0.01,159,5.8,270,300,26,a,121,0.0,98.6,1,0.02,0.10,0,119,
11,Marcus Oliveira Alencar,45,MID,Arsenal,172,429,0,0,,50,0.0,0.0,0,0,1.0,0,1,0,0.0,0.0,0.0,,0.00,,485,367,536,0.2,0.00,0.0,1.5,0,0,242,Marquinhos,0,0.1,182,0.0,0.0,527,376,,3,,0,212,0.00,139,0.2,292,535,1,a,212,0.0,0.0,0,0.0,0.00,0,211,
12,Gabriel Martinelli Silva,80,MID,Arsenal,5,27,18,0,3.0,253,298.1,1.17,33,0,5.5,3,2789,0,0.0,1.1,0.53,,16.13,4.0,16,17,7,838.1,36.16,1.06,3.2,34,0,9,Martinelli,14,14.0,14,1300.0,0.45,7,10,,648,,0,8,6.98,9,24.8,604,18,198,a,5,0.23,844.2,15,0.3,9.15,9,3,3.0
13,Eddie Nketiah,55,FWD,Arsenal,30,98,5,0,,44,93.8,1.23,16,0,2.1,3,1071,0,0.0,0.76,0.77,,9.15,,120,199,127,128.5,14.65,1.34,2.3,9,0,32,Nketiah,2,3.4,23,607.0,0.17,41,245,,161,,0,23,1.26,19,11.5,508,242,63,a,19,0.11,213.4,4,0.66,7.89,2,13,
14,Martin Ødegaard,85,MID,Arsenal,3,16,30,0,1.0,255,304.9,1.09,38,0,5.7,4,3132,0,0.0,1.06,0.51,,17.77,3.0,8,6,6,1140.3,37.94,1.09,3.4,37,0,6,Ødegaard,13,20.9,4,934.0,0.37,19,6,,813,,0,4,8.02,6,24.9,606,10,212,a,4,0.23,971.8,15,0.28,9.75,8,10,
15,Thomas Partey,50,MID,Arsenal,74,321,6,0,,109,121.5,1.17,28,0,2.6,5,2480,0,0.0,1.02,0.17,,4.76,,206,63,88,444.1,32.27,1.02,2.1,28,0,134,Thomas,11,0.3,54,242.0,0.4,126,188,,468,,0,42,2.17,98,17.2,379,93,86,a,62,0.08,526.6,3,0.09,2.59,0,81,
16,Nicolas Pépé,50,MID,Arsenal,244,509,0,0,,123,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,224,575,577,0.0,0.00,0.0,2.1,0,0,148,Pepe,0,0.1,244,0.0,0.0,573,577,,0,,0,244,0.00,174,0.0,397,576,0,a,244,0.0,0.0,0,0.0,0.00,0,244,
17,Aaron Ramsdale,50,GKP,Arsenal,13,19,9,0,,69,76.5,1.11,43,94,3.8,1,3420,0,2.47,1.0,0.0,,0.02,,249,586,165,0.0,42.31,1.13,3.7,38,0,11,Ramsdale,14,20.0,72,0.0,0.37,584,66,,664,,0,8,0.02,3,28.6,422,28,143,a,8,0.0,764.8,0,0.0,0.00,0,69,
18,Rúnar Alex Rúnarsson,40,GKP,Arsenal,40,386,0,0,,18,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,541,393,407,0.0,0.00,0.0,1.5,0,0,47,Rúnarsson,0,0.2,28,0.0,0.0,375,412,,0,,0,40,0.00,56,0.0,29,405,0,a,40,0.0,0.0,0,0.0,0.00,0,19,
19,Bukayo Saka,85,MID,Arsenal,6,2,19,0,,256,333.4,1.12,42,0,5.3,6,3183,1,0.0,1.05,0.49,,17.46,1.0,9,8,5,1106.1,39.66,1.19,3.4,37,0,7,Saka,12,55.5,6,1214.0,0.34,9,11,,678,,0,2,5.97,1,23.8,607,7,202,a,3,0.17,1014.2,14,0.32,11.49,12,4,1.0
20,William Saliba,50,DEF,Arsenal,2,21,14,0,,194,74.5,1.0,25,0,4.3,4,2415,0,0.0,1.01,0.04,,1.23,,280,236,170,100.8,26.86,0.93,2.8,27,1,34,Saliba,12,15.5,76,114.0,0.45,210,27,,571,,0,30,0.32,8,23.4,453,91,117,a,47,0.01,529.0,2,0.03,0.91,1,60,
21,Albert Sambi Lokonga,50,MID,Arsenal,142,597,0,0,,148,17.6,1.0,8,0,1.5,2,728,0,0.0,0.99,0.04,,0.35,,268,280,319,57.2,8.12,0.99,2.1,8,0,173,Sambi,2,0.0,147,20.0,0.25,321,324,,129,,0,134,0.18,246,4.6,441,301,23,a,146,0.02,98.4,0,0.02,0.17,0,160,
22,Emile Smith Rowe,55,MID,Arsenal,143,345,0,0,,195,16.7,1.51,5,0,1.5,0,161,0,0.0,0.0,0.45,,0.80,,122,263,321,74.4,2.71,2.8,2.5,0,0,77,Smith Rowe,0,0.2,139,41.0,0.0,296,325,,60,,0,150,0.55,107,3.3,510,339,18,a,148,0.31,53.8,0,0.14,0.25,2,149,
23,Nuno Varela Tavares,40,DEF,Arsenal,164,317,0,0,,41,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,591,433,444,0.0,0.00,0.0,1.5,0,0,188,Tavares,0,0.3,162,0.0,0.0,418,449,,0,,0,163,0.00,117,0.0,79,442,0,a,163,0.0,0.0,0,0.0,0.00,0,161,
24,Kieran Tierney,45,DEF,Arsenal,120,273,0,0,,113,30.0,1.27,10,0,1.4,0,774,0,0.0,0.7,0.09,,0.81,,380,252,290,86.1,10.90,1.16,2.5,6,0,89,Tierney,1,0.4,85,67.0,0.12,261,328,,164,,0,111,0.43,94,8.2,187,276,37,a,105,0.05,144.6,0,0.04,0.38,1,90,
25,Takehiro Tomiyasu,45,DEF,Arsenal,118,337,0,0,,141,27.7,1.23,11,0,1.5,2,651,0,0.0,0.83,0.06,,0.47,,419,251,297,86.6,8.93,1.52,2.5,6,0,117,Tomiyasu,2,0.2,84,55.0,0.28,271,317,,173,,0,112,0.23,124,7.1,226,283,32,a,106,0.03,137.0,0,0.03,0.24,1,98,
